pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,player_first_name,player_last_name
CU,2023-05-23,82.5,-1.41,5.93,"Verdugo, Alex",657077,656288,field_out,hit_into_play,,,,,6,Alex Verdugo lines out to left fielder Mickey Moniak.,R,L,R,LAA,BOS,X,7.0,line_drive,0,0,2023,0.94,-0.27,0.43,2.2,,,,2,5,Top,68.43,94.86,,,642136,,,2.324649588467842,-120.14998880169908,-1.4250901523578174,8.58336992404081,25.04599384577789,-34.697446334099624,3.41,1.48,296.0,93.5,21.0,81.6,2477.0,5.8,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.68,0.254,0.267,0.0,1.0,0.0,0.0,3.0,34,1,Curveball,1,0,0,1,0,1,0,1,Standard,Standard,37.0,0.014,-0.104,Alex,Verdugo
FF,2023-05-23,95.8,-1.16,5.91,"Verdugo, Alex",657077,656288,field_out,hit_into_play,,,,,1,"Alex Verdugo grounds out, third baseman Gio Urshela to first baseman Jared Walsh.",R,L,R,LAA,BOS,X,5.0,ground_ball,2,1,2023,-0.89,1.47,-0.38,3.21,,,,0,3,Top,100.99,149.86,,,642136,,,4.053316751994104,-139.4108212434502,-4.792672845394626,-12.524587604164084,31.738698973335456,-12.185592842105804,3.41,1.48,46.0,97.8,-2.0,95.2,2268.0,6.0,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.51,0.34,0.329,0.0,1.0,0.0,0.0,2.0,19,4,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,207.0,0.026,-0.278,Alex,Verdugo
CH,2023-05-23,90.8,-1.24,5.82,"Verdugo, Alex",657077,656288,,ball,,,,,14,"Alex Verdugo grounds out, third baseman Gio Urshela to first baseman Jared Walsh.",R,L,R,LAA,BOS,B,,,1,1,2023,-1.37,0.82,0.03,1.31,,,,0,3,Top,,,,,642136,,,6.032667708022842,-131.9339947990308,-7.057958137427272,-17.30978444742269,27.514203941101023,-21.31773031949316,3.61,1.61,,,,90.0,1708.0,5.8,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.65,,,,,,,,19,3,Changeup,1,0,0,1,0,1,0,1,Standard,Standard,228.0,0.0,0.05,Alex,Verdugo
CU,2023-05-23,81.7,-1.26,6.0,"Verdugo, Alex",657077,656288,,swinging_strike,,,,,9,"Alex Verdugo grounds out, third baseman Gio Urshela to first baseman Jared Walsh.",R,L,R,LAA,BOS,S,,,1,0,2023,1.15,-0.79,0.69,1.58,,,,0,3,Top,,,,,642136,,,2.151514356946697,-119.00973038742153,-1.796121879959881,10.386772265416804,24.953606702400144,-39.49286118533484,3.41,1.48,,,,80.7,2409.0,5.7,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.76,,,,,,,,19,2,Curveball,1,0,0,1,0,1,0,1,Standard,Standard,17.0,0.0,-0.046,Alex,Verdugo
FF,2023-05-23,94.1,-1.1,5.88,"Verdugo, Alex",657077,656288,,ball,,,,,13,"Alex Verdugo grounds out, third baseman Gio Urshela to first baseman Jared Walsh.",R,L,R,LAA,BOS,B,,,0,0,2023,-0.9,1.28,-0.18,1.03,,,,0,3,Top,,,,,642136,,,4.375109992536763,-136.63761303698752,-9.662045535829112,-12.249136104962858,30.249239451210947,-14.176017025396847,3.74,1.66,,,,93.6,2168.0,6.1,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.35,,,,,,,,19,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,210.0,0.0,0.039,Alex,Verdugo
FF,2023-05-23,94.4,1.19,6.31,"Verdugo, Alex",657077,519043,force_out,hit_into_play,,,,,3,"Alex Verdugo grounds into a force out, first baseman Jared Walsh to shortstop Zach Neto.   Rob Refsnyder out at 2nd.    Alex Verdugo to 1st.",R,L,L,LAA,BOS,X,3.0,ground_ball,2,0,2023,1.1,1.5,0.61,2.9,,,608701.0,0,8,Top,146.15,176.46,,,642136,,,-3.984732201070622,-137.32218245252898,-6.488964356000713,14.808262773352816,32.22116629846483,-11.970227318495676,3.41,1.48,10.0,78.1,-15.0,94.4,2193.0,6.4,718053,519043,642136,665120,592273,570482,687263,666160,545361,592669,54.06,0.066,0.067,0.0,1.0,0.0,0.0,2.0,55,3,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,137.0,0.058,-0.65,Alex,Verdugo
FF,2023-05-23,95.0,1.14,6.27,"Verdugo, Alex",657077,519043,,ball,,,,,13,"Alex Verdugo grounds into a force out, first baseman Jared Walsh to shortstop Zach Neto.   Rob Refsnyder out at 2nd.    Alex Verdugo to 1st.",R,L,L,LAA,BOS,B,,,1,0,2023,0.79,1.53,-1.14,2.02,,,608701.0,0,8,Top,,,,,642136,,,-7.724192676951452,-137.93737044718955,-8.874561669219858,11.816824219703763,31.76915328500628,-10.834545571720453,3.49,1.59,,,,94.8,2367.0,6.4,718053,519043,642136,665120,592273,570482,687263,666160,545361,592669,54.13,,,,,,,,55,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,145.0,0.0,0.085,Alex,Verdugo
FF,2023-05-23,94.6,1.26,6.25,"Verdugo, Alex",657077,519043,,ball,,,,,12,"Alex Verdugo grounds into a force out, first baseman Jared Walsh to shortstop Zach Neto.   Rob Refsnyder out at 2nd.    Alex Verdugo to 1st.",R,L,L,LAA,BOS,B,,,0,0,2023,0.96,1.66,0.77,3.87,,,608701.0,0,8,Top,,,,,642136,,,-3.436546200318653,-137.6432461395479,-4.1643159509608285,12.979762567008311,34.00065863508739,-10.489652862609429,3.43,1.56,,,,94.0,2365.0,6.2,718053,519043,642136,665120,592273,570482,687263,666160,545361,592669,54.27,,,,,,,,55,1,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,139.0,0.0,0.037,Alex,Verdugo
CH,2023-05-23,91.6,-1.46,5.86,"Verdugo, Alex",657077,656288,field_out,hit_into_play,,,,,4,Alex Verdugo lines out to left fielder Mickey Moniak.,R,L,R,LAA,BOS,X,7.0,line_drive,0,2,2023,-1.46,0.54,-0.61,2.38,,,,0,1,Top,73.43,99.08,,,642136,,,5.22338708842908,-133.3042248550041,-4.015531886124466,-18.575004381156763,29.54789441628608,-25.085944516421225,3.41,1.48,281.0,97.2,16.0,90.5,1860.0,5.7,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.82,0.691,0.714,0.0,1.0,0.0,0.0,4.0,1,3,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,233.0,0.022,-0.149,Alex,Verdugo
SI,2023-05-23,95.5,-0.95,5.9,"Verdugo, Alex",657077,656288,,foul,,,,,3,Alex Verdugo lines out to left fielder Mickey Moniak.,R,L,R,LAA,BOS,S,,,0,1,2023,-1.13,1.33,0.55,3.06,,,,0,1,Top,,,,,642136,,,6.432101093431201,-138.848018959338,-4.735181486701467,-16.043368090240097,34.75144985319261,-14.15896715853014,3.41,1.48,238.0,81.9,51.0,94.4,2157.0,6.0,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.52,,,,,,,,1,2,Sinker,0,0,0,0,0,0,0,0,Strategic,Standard,199.0,0.0,-0.049,Alex,Verdugo
SI,2023-05-23,95.9,-1.19,5.85,"Verdugo, Alex",657077,656288,,foul,,,,,5,Alex Verdugo lines out to left fielder Mickey Moniak.,R,L,R,LAA,BOS,S,,,0,0,2023,-1.07,1.49,0.16,2.72,,,,0,1,Top,,,,,642136,,,5.981939815458441,-139.4530627386851,-5.980164934131872,-15.321991619385038,33.983812887540566,-11.660258199520545,3.41,1.48,134.0,76.6,15.0,95.5,2113.0,6.3,718053,656288,642136,665120,592273,570482,687263,666160,545361,592669,54.24,,,,,,,,1,1,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,211.0,0.0,-0.037,Alex,Verdugo
SL,2023-05-22,86.4,-2.0,6.54,"Verdugo, Alex",657077,642545,field_out,hit_into_play,,,,,14,Alex Verdugo grounds out to first baseman Jared Walsh.,R,L,R,LAA,BOS,X,3.0,ground_ball,1,1,2023,0.19,0.41,0.03,1.26,,,,2,3,Top,157.58,168.3,,,642136,,,4.47133832633578,-125.68228839448116,-7.21798333051329,1.1146257375647286,25.90131630002332,-26.555215444241327,3.41,1.48,2.0,79.9,-35.0,86.7,2159.0,6.5,718070,642545,642136,665120,592273,650859,687263,666160,545361,592669,53.97,0.046,0.041,0.0,1.0,0.0,0.0,2.0,21,3,Slider,1,0,0,1,0,1,0,1,Standard,Standard,161.0,0.012,-0.098,Alex,Verdugo
FF,2023-05-22,92.9,-1.97,6.56,"Verdugo, Alex",657077,642545,,called_strike,,,,,7,Alex Verdugo grounds out to first baseman Jared Walsh.,R,L,R,LAA,BOS,S,,,1,0,2023,-0.4,1.56,-0.6,2.22,,,,2,3,Top,,,,,642136,,,4.390173686612489,-135.0383988650841,-8.71166985938336,-5.867742341650815,29.07317667799885,-11.41505432301348,3.62,1.59,,,,92.8,2330.0,6.3,718070,642545,642136,665120,592273,650859,687263,666160,545361,592669,54.22,,,,,,,,21,2,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,198.0,0.0,-0.027,Alex,Verdugo
FF,2023-05-22,92.8,-2.07,6.55,"Verdugo, Alex",657077,642545,,ball,,,,,2,Alex Verdugo grounds out to first baseman Jared Walsh.,R,L,R,LAA,BOS,B,,,0,0,2023,-0.13,1.5,0.09,3.61,,,,2,3,Top,,,,,642136,,,5.836375955156036,-135.00812075856228,-5.008505714827327,-2.9368482122902138,30.17997179647576,-12.934126403511812,3.61,1.61,,,,92.8,2314.0,6.3,718070,642545,642136,665120,592273,650859,687263,666160,545361,592669,54.17,,,,,,,,21,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Standard,Standard,189.0,0.0,0.021,Alex,Verdugo
FS,2023-05-22,84.0,-1.54,6.23,"Verdugo, Alex",657077,681217,field_out,hit_into_play,,,,,7,"Alex Verdugo grounds out sharply, second baseman Brandon Drury to first baseman Jared Walsh.",R,L,R,LAA,BOS,X,4.0,ground_ball,0,2,2023,-0.85,0.23,-0.64,2.02,,,,0,9,Top,147.88,141.03,,,642136,,,3.772843754637363,-122.20053336438062,-3.738379039922577,-9.302193301683928,26.884683963143104,-29.26368995727869,3.41,1.48,53.0,100.3,1.0,83.3,903.0,6.1,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.41,0.454,0.441,0.0,1.0,0.0,0.0,4.0,60,3,Split-Finger,2,1,1,2,1,2,1,2,Strategic,Standard,257.0,0.071,-0.149,Alex,Verdugo
FS,2023-05-22,83.8,-1.56,6.17,"Verdugo, Alex",657077,681217,,foul,,,,,14,"Alex Verdugo grounds out sharply, second baseman Brandon Drury to first baseman Jared Walsh.",R,L,R,LAA,BOS,S,,,0,1,2023,-0.29,-0.3,0.18,0.96,,,,0,9,Top,,,,,642136,,,4.557748366315951,-121.8460324980466,-4.901963268311946,-3.895337933629919,27.363806610666447,-34.24265986590033,3.41,1.48,1.0,55.9,-38.0,82.7,1041.0,6.0,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.55,,,,,,,,60,2,Split-Finger,2,1,1,2,1,2,1,2,Standard,Standard,41.0,0.0,-0.049,Alex,Verdugo
SL,2023-05-22,84.2,-1.94,5.98,"Verdugo, Alex",657077,681217,,called_strike,,,,,11,"Alex Verdugo grounds out sharply, second baseman Brandon Drury to first baseman Jared Walsh.",R,L,R,LAA,BOS,S,,,0,0,2023,0.33,-0.28,-0.87,2.81,,,,0,9,Top,,,,,642136,,,1.8135062073636088,-122.70669591799934,-0.5220650403661622,3.062470836145704,22.233257902907024,-35.0745318017855,3.5,1.54,,,,83.8,2668.0,5.7,718070,681217,642136,665120,592273,570482,687263,666160,545361,592669,54.77,,,,,,,,60,1,Slider,2,1,1,2,1,2,1,2,Standard,Standard,73.0,0.0,-0.037,Alex,Verdugo
CH,2023-05-22,83.3,-2.3,6.14,"Verdugo, Alex",657077,642545,strikeout,swinging_strike,,,,,14,Alex Verdugo strikes out swinging.,R,L,R,LAA,BOS,S,2.0,,2,2,2023,-1.05,1.01,0.24,0.87,,,,0,1,Top,,,,,642136,,,7.859404726186327,-120.84127001478414,-7.580571947382101,-11.79921058342484,23.94091941170324,-20.947406897508845,3.41,1.48,,,,83.0,1483.0,6.3,718070,642545,642136,665120,592273,650859,687263,666160,545361,592669,54.2,,,0.0,1.0,0.0,0.0,,1,7,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,235.0,0.022,-0.205,Alex,Verdugo
SI,2023-05-22,91.2,3.72,4.4,"Verdugo, Alex",657077,571901,field_out,hit_into_play,,,,,5,"Alex Verdugo grounds out, shortstop Zach Neto to first baseman Jared Walsh.   Connor Wong to 3rd.",R,L,L,LAA,BOS,X,6.0,ground_ball,0,1,2023,1.49,0.24,-0.18,2.28,,657136.0,,0,6,Top,125.45,171.33,,,642136,,,-12.902908382066467,-132.19054121481878,0.0668846966429861,20.186340553859743,27.72266579774826,-29.55197765604992,3.41,1.48,1.0,83.9,-60.0,90.7,2106.0,6.1,718070,571901,642136,665120,592273,650859,687263,666160,545361,592669,54.36,0.326,0.309,0.0,1.0,0.0,0.0,2.0,39,2,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,112.0,0.019,-0.194,Alex,Verdugo
SI,2023-05-22,90.6,3.58,4.41,"Verdugo, Alex",657077,571901,,foul_bunt,,,,,14,"Alex Verdugo grounds out, shortstop Zach Neto to first baseman Jared Walsh.   Connor Wong to 3rd.",R,L,L,LAA,BOS,S,,,0,0,2023,1.49,0.27,0.97,2.23,,657136.0,,0,6,Top,,,,,642136,,,-9.663909045881288,-131.60013792467447,-0.0583473376649589,19.39070284890805,28.229509955473173,-29.257398963999364,3.41,1.48,4.0,,,90.3,2197.0,6.2,718070,571901,642136,665120,592273,650859,687263,666160,545361,592669,54.27,,,,,,,,39,1,Sinker,1,0,0,1,0,1,0,1,Standard,Standard,111.0,0.0,-0.088,Alex,Verdugo
CH,2023-05-22,85.2,-2.27,6.22,"Verdugo, Alex",657077,642545,,foul,,,,,7,Alex Verdugo strikes out swinging.,R,L,R,LAA,BOS,S,,,2,2,2023,-1.56,0.74,-0.71,1.38,,,,0,1,Top,,,,,642136,,,6.781444355213252,-123.70634613825072,-6.456094336735587,-17.382177828893333,27.697094097953773,-23.36279496507484,3.41,1.48,1.0,62.2,-57.0,84.4,1625.0,6.2,718070,642545,642136,665120,592273,650859,687263,666160,545361,592669,54.3,,,,,,,,1,6,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,226.0,0.0,0.0,Alex,Verdugo
FF,2023-05-22,93.4,-2.0,6.57,"Verdugo, Alex",657077,642545,,ball,,,,,11,Alex Verdugo strikes out swinging.,R,L,R,LAA,BOS,B,,,1,2,2023,-0.27,1.36,-1.17,3.82,,,,0,1,Top,,,,,642136,,,2.73129191297189,-135.84658122968514,-4.256256307147899,-3.927333676728916,33.5105706987096,-14.663752894233216,3.62,1.61,,,,92.9,2300.0,6.3,718070,642545,642136,665120,592273,650859,687263,666160,545361,592669,54.19,,,,,,,,1,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,196.0,0.0,0.03,Alex,Verdugo
FF,2023-05-22,92.6,-1.89,6.55,"Verdugo, Alex",657077,642545,,foul,,,,,2,Alex Verdugo strikes out swinging.,R,L,R,LAA,BOS,S,,,1,2,2023,0.09,1.57,0.06,3.47,,,,0,1,Top,,,,,642136,,,4.742535738739879,-134.7517541950983,-5.501953430816793,0.1244922611165025,29.125450210841517,-11.985798270360268,3.41,1.48,224.0,69.8,42.0,92.4,2334.0,6.2,718070,642545,642136,665120,592273,650859,687263,666160,545361,592669,54.33,,,,,,,,1,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,189.0,0.0,0.0,Alex,Verdugo
CH,2023-05-22,82.9,-2.31,6.25,"Verdugo, Alex",657077,642545,,foul,,,,,9,Alex Verdugo strikes out swinging.,R,L,R,LAA,BOS,S,,,1,1,2023,-1.17,0.63,0.65,2.04,,,,0,1,Top,,,,,642136,,,9.07663126815487,-120.43358302099992,-4.394135522588373,-13.15291704006374,22.23637874589315,-25.35633858079585,3.41,1.48,114.0,48.7,50.0,83.1,1471.0,6.4,718070,642545,642136,665120,592273,650859,687263,666160,545361,592669,54.1,,,,,,,,1,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,232.0,0.0,-0.053,Alex,Verdugo
CH,2023-05-22,84.9,-2.35,6.25,"Verdugo, Alex",657077,642545,,ball,,,,,14,Alex Verdugo strikes out swinging.,R,L,R,LAA,BOS,B,,,0,1,2023,-1.07,0.85,0.27,0.64,,,,0,1,Top,,,,,642136,,,8.28167737601164,-123.17803264654924,-8.495388477023377,-12.542404306632877,24.4841739857759,-21.98956206170098,3.57,1.57,,,,85.1,1656.0,6.6,718070,642545,642136,665120,592273,650859,687263,666160,545361,592669,53.91,,,,,,,,1,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,226.0,0.0,0.03,Alex,Verdugo
FF,2023-05-22,91.6,-2.11,6.52,"Verdugo, Alex",657077,642545,,called_strike,,,,,8,Alex Verdugo strikes out swinging.,R,L,R,LAA,BOS,S,,,0,0,2023,-0.38,1.49,0.03,2.06,,,,0,1,Top,,,,,642136,,,6.210291463578416,-132.96148080775927,-8.549776090925262,-5.9142409904779525,29.489268230698837,-12.770660080046316,3.62,1.66,,,,91.3,2379.0,6.3,718070,642545,642136,665120,592273,650859,687263,666160,545361,592669,54.2,,,,,,,,1,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,200.0,0.0,-0.037,Alex,Verdugo
CH,2023-05-21,82.7,-1.52,6.5,"Verdugo, Alex",657077,608379,field_out,hit_into_play,,,,,1,Alex Verdugo lines out to right fielder Fernando Tatis Jr.,R,L,R,SD,BOS,X,9.0,line_drive,1,0,2023,-1.38,1.1,-0.65,2.79,,606132.0,624512.0,2,5,Top,182.82,88.4,,,664954,,,4.713849502068141,-120.30417639713292,-4.033792534544043,-14.290420835282749,26.41309208060472,-20.956465837958,3.39,1.48,308.0,92.6,20.0,82.8,1538.0,6.7,718079,608379,664954,630105,596059,673490,593428,665742,663757,665487,53.85,0.326,0.332,0.0,1.0,0.0,0.0,4.0,38,2,Changeup,6,0,0,6,0,6,0,6,Strategic,Standard,248.0,0.012,-0.545,Alex,Verdugo
CU,2023-05-21,75.2,-1.73,6.4,"Verdugo, Alex",657077,608379,,ball,,,,,7,Alex Verdugo lines out to right fielder Fernando Tatis Jr.,R,L,R,SD,BOS,B,,,0,0,2023,1.27,-1.08,-0.74,1.55,,606132.0,624512.0,2,5,Top,,,,,664954,,,-0.2123398787937348,-109.32186595206342,-0.746339500568603,10.02455354557339,25.40487550982942,-40.74579960765025,3.39,1.48,,,,74.6,2127.0,6.7,718079,608379,664954,630105,596059,673490,593428,665742,663757,665487,53.84,,,,,,,,38,1,Curveball,6,0,0,6,0,6,0,6,Strategic,Standard,33.0,0.0,0.075,Alex,Verdugo
