pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,player_first_name,player_last_name
FF,2023-05-24,94.1,-1.17,6.07,"Bregman, Alex",608324,605288,double,hit_into_play,,,,,11,Alex Bregman doubles (6) on a sharp line drive to left fielder Christian Yelich.   Mauricio Dubon to 3rd.,R,R,R,MIL,HOU,X,7.0,line_drive,1,0,2023,-0.99,1.32,-0.11,3.28,,,643289.0,1,6,Top,75.28,63.2,,,661388,,,4.969533865251694,-136.87094221844373,-4.489162836760233,-13.519111989629147,30.64385925854529,-14.816006430397564,3.07,1.46,357.0,102.6,20.0,94.8,2321.0,6.7,718046,605288,661388,642133,668930,680911,642715,592885,686894,605119,53.77,0.534,0.706,1.25,1.0,1.0,1.0,5.0,38,2,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,223.0,-0.118,0.875,Alex,Bregman
SI,2023-05-24,92.6,-1.56,5.76,"Bregman, Alex",608324,605288,,ball,,,,,14,Alex Bregman doubles (6) on a sharp line drive to left fielder Christian Yelich.   Mauricio Dubon to 3rd.,R,R,R,MIL,HOU,B,,,0,0,2023,-1.48,0.41,0.05,1.08,,,643289.0,1,6,Top,,,,,661388,,,7.404553901254319,-134.53891573611597,-7.1138855435730735,-19.604038265847247,28.89613882491077,-25.8043726507038,3.01,1.31,,,,93.5,2103.0,6.9,718046,605288,661388,642133,668930,680911,642715,592885,686894,605119,53.64,,,,,,,,38,1,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,233.0,0.0,0.046,Alex,Bregman
FF,2023-05-24,94.0,-1.35,5.97,"Bregman, Alex",608324,605288,field_out,hit_into_play,,,,,11,Alex Bregman flies out to center fielder Joey Wiemer.,R,R,R,MIL,HOU,X,8.0,fly_ball,2,2,2023,-0.75,1.32,-0.18,3.26,,,,2,3,Top,108.59,81.32,,,661388,,,4.71914714094277,-136.81508838571068,-4.2608673122233816,-10.431312654855285,29.950180182419533,-14.870991802726154,3.07,1.46,296.0,88.1,43.0,94.8,2182.0,6.8,718046,605288,661388,642133,668930,680911,642715,592885,686894,605119,53.75,0.001,0.0,0.0,1.0,0.0,0.0,3.0,19,5,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,228.0,0.01,-0.09,Alex,Bregman
FF,2023-05-24,95.0,-1.31,6.09,"Bregman, Alex",608324,605288,,ball,,,,,11,Alex Bregman flies out to center fielder Joey Wiemer.,R,R,R,MIL,HOU,B,,,1,2,2023,-0.86,1.27,-0.33,4.82,,,,2,3,Top,,,,,661388,,,4.5393592547533,-138.33624547670473,-0.5154783612766645,-12.116440188975378,31.121163325334575,-15.961039701543427,3.09,1.4,,,,95.7,2242.0,6.7,718046,605288,661388,642133,668930,680911,642715,592885,686894,605119,53.82,,,,,,,,19,4,4-Seam Fastball,2,0,0,2,0,2,0,2,Standard,Standard,222.0,0.0,0.018,Alex,Bregman
SI,2023-05-24,93.7,-1.5,5.78,"Bregman, Alex",608324,605288,,foul,,,,,6,Alex Bregman flies out to center fielder Joey Wiemer.,R,R,R,MIL,HOU,S,,,1,1,2023,-1.36,0.35,0.35,2.43,,,,2,3,Top,,,,,661388,,,7.838570202636202,-136.2326271724614,-3.712384372348245,-18.68381523455419,28.770866322561314,-27.21000998906672,3.07,1.46,218.0,84.0,56.0,94.5,2055.0,6.7,718046,605288,661388,642133,668930,680911,642715,592885,686894,605119,53.8,,,,,,,,19,3,Sinker,2,0,0,2,0,2,0,2,Standard,Standard,225.0,0.0,-0.026,Alex,Bregman
CU,2023-05-24,81.6,-1.46,5.96,"Bregman, Alex",608324,605288,,called_strike,,,,,2,Alex Bregman flies out to center fielder Joey Wiemer.,R,R,R,MIL,HOU,S,,,1,0,2023,0.87,-0.38,-0.19,3.06,,,,2,3,Top,,,,,661388,,,1.1801252504755997,-118.7943455126804,0.8240930955367636,7.981567454171129,23.405184465595347,-36.16810077946105,3.07,1.37,,,,81.8,1748.0,6.4,718046,605288,661388,642133,668930,680911,642715,592885,686894,605119,54.07,,,,,,,,19,2,Curveball,2,0,0,2,0,2,0,2,Standard,Standard,26.0,0.0,-0.027,Alex,Bregman
SL,2023-05-24,82.5,-1.36,6.06,"Bregman, Alex",608324,605288,,ball,,,,,11,Alex Bregman flies out to center fielder Joey Wiemer.,R,R,R,MIL,HOU,B,,,0,0,2023,0.47,-0.33,-0.3,3.19,,,,2,3,Top,,,,,661388,,,1.5101974129022226,-120.21165731758602,0.6149408326475383,4.27075502358059,23.46159003521374,-35.71501821353576,3.07,1.37,,,,82.9,1739.0,6.5,718046,605288,661388,642133,668930,680911,642715,592885,686894,605119,53.99,,,,,,,,19,1,Slider,2,0,0,2,0,2,0,2,Standard,Standard,28.0,0.0,0.021,Alex,Bregman
SI,2023-05-24,95.9,-3.33,5.48,"Bregman, Alex",608324,664776,field_out,hit_into_play,,,,,4,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,X,6.0,ground_ball,3,2,2023,-1.57,0.43,-0.79,2.5,,643289.0,,2,8,Top,104.93,156.2,,,661388,,,10.344843736739808,-139.2531643219105,-3.2414792480093206,-22.81571518962597,31.944281776986628,-25.963228974846555,3.07,1.46,46.0,83.5,1.0,96.4,2298.0,6.7,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.76,0.226,0.203,0.0,1.0,0.0,0.0,2.0,55,6,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,238.0,0.009,-0.332,Alex,Bregman
SL,2023-05-24,82.7,-3.41,5.24,"Bregman, Alex",608324,664776,,ball,,,,,14,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,B,,,2,2,2023,0.98,0.13,2.58,-0.25,,,643289.0,2,8,Top,,,,,661388,,,11.806757921501546,-119.72532167163789,-6.182937441966484,6.899098661896015,24.915300259950243,-29.805764748368563,2.95,1.34,,,,82.9,2695.0,6.9,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.64,,,,,,,,55,5,Slider,4,0,0,4,0,4,0,4,Standard,Standard,52.0,-0.001,0.056,Alex,Bregman
SL,2023-05-24,83.0,-3.32,5.41,"Bregman, Alex",608324,664776,,ball,,,,,14,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,B,,,1,2,2023,0.55,0.12,1.38,1.18,,,643289.0,2,8,Top,,,,,661388,,,9.70136138547022,-120.48428600199244,-3.4084187502376078,3.4957226363118257,23.6535626030412,-30.52896901648029,2.92,1.31,,,,83.2,2607.0,6.6,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.93,,,,,,,,55,4,Slider,4,0,0,4,0,4,0,4,Standard,Standard,53.0,0.0,0.031,Alex,Bregman
SI,2023-05-24,94.7,-3.34,5.37,"Bregman, Alex",608324,664776,,foul,,,,,5,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,S,,,1,1,2023,-1.45,0.56,0.08,2.13,,,643289.0,2,8,Top,,,,,661388,,,12.247415173987145,-137.3837913291844,-4.040604820633926,-20.99632786994456,29.793590852500373,-24.322759186343905,3.07,1.46,184.0,75.8,19.0,95.3,2277.0,6.8,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.73,,,,,,,,55,3,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,239.0,0.0,-0.056,Alex,Bregman
SI,2023-05-24,95.0,-3.32,5.42,"Bregman, Alex",608324,664776,,called_strike,,,,,4,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,S,,,1,0,2023,-1.53,0.66,-0.58,2.32,,,643289.0,2,8,Top,,,,,661388,,,10.658827754262507,-137.90496015248712,-3.936451283523967,-21.966095837654677,30.841130610812936,-23.09180246341849,3.01,1.31,,,,95.5,2467.0,6.7,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.79,,,,,,,,55,2,Sinker,4,0,0,4,0,4,0,4,Standard,Standard,234.0,0.0,-0.036,Alex,Bregman
SL,2023-05-24,81.5,-3.41,5.32,"Bregman, Alex",608324,664776,,ball,,,,,14,"Alex Bregman grounds out, shortstop Willy Adames to first baseman Rowdy Tellez.",R,R,R,MIL,HOU,B,,,0,0,2023,0.91,0.1,1.02,0.82,,,643289.0,2,8,Top,,,,,661388,,,8.316485228903508,-118.4976979918306,-3.758623132283061,6.976122201158272,22.51804102964936,-30.65746542931373,2.9,1.29,,,,82.4,2723.0,6.9,718046,664776,661388,642133,668930,680911,642715,592885,686894,605119,53.59,,,,,,,,55,1,Slider,4,0,0,4,0,4,0,4,Standard,Standard,57.0,0.0,0.027,Alex,Bregman
SI,2023-05-24,93.9,-1.67,5.82,"Bregman, Alex",608324,605288,field_out,hit_into_play,,,,,8,Alex Bregman flies out to right fielder Brian Anderson.,R,R,R,MIL,HOU,X,9.0,fly_ball,2,1,2023,-1.48,0.66,-0.02,1.91,,,,1,1,Top,193.93,84.79,,,661388,,,7.590714964665447,-136.47734345832785,-5.871504029121748,-20.16906370030939,29.44392444068174,-22.85656128791582,3.07,1.46,328.0,95.3,33.0,94.4,1944.0,6.6,718046,605288,661388,642133,668930,680911,642715,592885,686894,605119,53.87,0.126,0.219,0.0,1.0,0.0,0.0,3.0,2,4,Sinker,0,0,0,0,0,0,0,0,Standard,Standard,226.0,0.015,-0.201,Alex,Bregman
SL,2023-05-24,86.9,-1.73,5.74,"Bregman, Alex",608324,605288,,ball,,,,,14,Alex Bregman flies out to right fielder Brian Anderson.,R,R,R,MIL,HOU,B,,,1,1,2023,0.36,0.13,1.47,0.62,,,,1,1,Top,,,,,661388,,,6.97347096132061,-126.35014285258544,-6.412483754267014,2.494507194105775,24.853396373117384,-29.719955150561123,3.04,1.37,,,,87.9,2368.0,6.9,718046,605288,661388,642133,668930,680911,642715,592885,686894,605119,53.65,,,,,,,,2,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,152.0,0.0,0.036,Alex,Bregman
